CompanyName,Industry,ContractLength,MonthsSinceSignup,TotalTransactions,AvgTransactionValue,LastTransactionDate,ProductUsageFrequency,SupportTicketsOpened,SupportTicketResolutionTime,EmailOpenRate,WebinarAttendance,AccountManagerCalls,ChurnStatus
Green Technology Inc.,Clean Tech,18,20,320,680,2022-11-01,Monthly,18,4.7,0.74,0,4,1
Renewable Energy Solutions Inc.,Renewable Energy,36,52,2000,2800,2022-05-01,Weekly,13,3.6,0.94,0,16,1
Carbon Zero Inc.,Clean Tech,12,13,120,240,2023-05-01,Weekly,15,4.8,0.45,0,2,1
EcoCycle Inc.,Waste Management,18,18,300,600,2023-04-01,Monthly,18,4.9,0.75,0,6,0
Green Planet Inc.,Green Infrastructure,24,31,800,1600,2023-03-01,Weekly,22,5.1,0.69,0,11,0
Sustainable Living Inc.,Sustainable Living,18,19,280,560,2023-02-01,Monthly,19,4.8,0.76,0,5,0
Clean Energy Inc.,Clean Energy,36,54,2500,3200,2023-01-01,Weekly,16,3.7,0.95,0,17,0
Green Building Inc.,Green Building,18,20,320,640,2023-06-01,Monthly,17,4.7,0.73,0,4,0
Renewable Energy Inc.,Renewable Energy,24,33,900,1400,2023-07-01,Weekly,21,5.3,0.66,0,12,0
Eco Friendly Products Inc.,Eco Friendly,18,22,220,440,2023-08-01,Monthly,16,4.8,0.78,0,3,0
Green Urban Renewal Inc.,Green Urban,18,23,180,360,2023-09-01,Weekly,15,4.9,0.81,0,2,0
Sustainable Fashion Inc.,Sustainable Fashion,24,36,1100,1700,2023-10-01,Weekly,20,5,0.68,0,9,0
Green Technology Inc.,Clean Tech,18,21,300,600,2023-11-01,Monthly,18,4.6,0.75,0,5,0
Renewable Energy Solutions Inc.,Renewable Energy,36,55,2200,2800,2023-12-01,Weekly,12,3.5,0.93,0,15,0
Carbon Neutral Inc.,Clean Tech,12,14,140,280,2023-03-01,Monthly,14,4.7,0.42,0,1,1
EcoCycle Solutions Inc.,Waste Management,18,19,320,640,2023-06-01,Weekly,18,4.8,0.76,0,6,0
Green Planet Solutions Inc.,Green Infrastructure,24,32,800,1600,2023-07-01,Weekly,22,5.1,0.69,0,11,0
Sustainable Living Solutions Inc.,Sustainable Living,18,20,280,560,2023-08-01,Monthly,19,4.8,0.76,0,5,0
